Price,Details,Address,features,Area,Bedrooms,House_type
50000,3 BHK Apartment,"Lodha Meridian Super 60, Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Semi Furnished,1854.0,3,Apartment
50000,3 BHK Apartment,"Lodha Meridian Super 60, Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Semi Furnished,2250.0,3,Apartment
57000,3 BHK Apartment,"Lodha Meridian Super 60, Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Fully Furnished,1900.0,3,Apartment
55000,3 BHK Apartment,"Lodha Meridian Super 60, Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Fully Furnished,2100.0,3,Apartment
20000,2 BHK Independent House,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Semi Furnished,1050.0,2,Independent
18000,2 BHK Independent Floor,"Vivek Nagar, Kukatpally, Hyderabad",Semi Furnished,1500.0,2,Independent
8500,1 BHK Independent Floor,"HMT Hills, Kukatpally, Hyderabad",Unfurnished,600.0,1,Independent
11000,1 BHK Apartment,"Nagarjuna Homes, Kukatpally, Hyderabad",Unfurnished,800.0,1,Apartment
17000,2 BHK Independent House,"Navodaya Colony, Kukatpally, Hyderabad",Semi Furnished,1200.0,2,Independent
21000,3 BHK Apartment,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Unfurnished,1455.0,3,Apartment
13500,1 BHK Independent House,"Vivekananda Nagar Extension, Kukatpally, Hyderabad",Semi Furnished,800.0,1,Independent
7500,1 BHK Independent House,"Shamshiguda, Kukatpally, Hyderabad",Unfurnished,400.0,1,Independent
19000,2 BHK Apartment,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Semi Furnished,1100.0,2,Apartment
18000,2 BHK Apartment,"Kukatpally, Hyderabad",Semi Furnished,1000.0,2,Apartment
17000,2 BHK Apartment,"Kukatpally, Hyderabad",Unfurnished,1300.0,2,Apartment
13000,2 BHK Apartment,"Navodaya Colony, Kukatpally, Hyderabad",Unfurnished,1350.0,2,Apartment
13000,2 BHK Apartment,"Vasantha Nagar, Hyder Nagar, Hyderabad",Unfurnished,1100.0,2,Apartment
15000,2 BHK Independent Floor,"Vasantha Nagar, Hyder Nagar, Hyderabad",Unfurnished,1200.0,2,Independent
15000,2 BHK Independent Floor,"Kukatpally, Hyderabad",Unfurnished,1200.0,2,Independent
25000,2 BHK Apartment,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Fully Furnished,1150.0,2,Apartment
25500,3 BHK Apartment,"Prem Prem Sarovar, Navodaya Colony, Kukatpally, Hyderabad",Semi Furnished,1755.0,3,Apartment
20000,2 BHK Apartment,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Semi Furnished,1160.0,2,Apartment
24000,3 BHK Independent Floor,"HMT Hills, Kukatpally, Hyderabad",Semi Furnished,2000.0,3,Independent
23000,3 BHK Apartment,"Swaraj Malaysian Township Apartments, Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Semi Furnished,1225.0,3,Apartment
16000,2 BHK Apartment,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Unfurnished,1150.0,2,Apartment
25000,3 BHK Apartment,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Semi Furnished,1650.0,3,Apartment
8000,1 RK Independent House,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Unfurnished,700.0,1,Independent
13500,2 BHK Apartment,"Allwyn Colony, Jagadgiri Gutta, Hyderabad",Unfurnished,1200.0,2,Apartment
13000,1 BHK Independent House,"Shamshiguda, Kukatpally, Hyderabad",Unfurnished,750.0,1,Independent
16000,2 BHK Apartment,"Kukatpally, Hyderabad",Semi Furnished,1100.0,2,Apartment
14000,1 BHK Independent Floor,"Sri Sai krishna Kunj, Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Semi Furnished,800.0,1,Independent
